year,grade,sub,group,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,displayYear
1992,4,"math","blk",1.1025801,9999,1.0637758,1.0727291,1.1626567,1.0162673,1.4413882,1.0736729,2.1346722,1.2247534,1.1492108,.60975116,9999,9999,1.1297024,1.2440435,9999,.70687926,1.171133,9999,1.1172357,1.3024707,1.4795817,1.2786878,1.0888149,1.1810404,9999,1.3648993,9999,9999,1.4214913,.81112999,1.1080205,1.0816689,9999,.97523022,.92618811,9999,1.384029,1.1504959,1.0995266,9999,.95816994,1.1082703,9999,9999,1.0818233,9999,.67595327,1.4237704,.79545724,1991
1996,4,"math","blk",1.0883788,.82396728,1.0125411,1.1366225,1.2421244,1.1361706,1.3661495,1.0452979,2.1194184,1.1628002,.9115299,.60716861,9999,9999,1.1012127,1.0390711,9999,.71304476,1.1145772,9999,1.1755054,1.1935694,1.4118017,1.2257882,1.0639933,1.1366372,9999,1.2785772,.90476,9999,1.3345896,.85592061,1.1284955,1.0760828,.52224153,1.0727499,1.006675,.40446073,1.2968347,1.1064389,1.0780977,9999,1.0132606,1.0814536,9999,.36485842,1.0544811,.83095533,.60081011,1.3976843,.71703023,1995
2000,4,"math","blk",1.0239369,.82310955,.96130627,1.1542189,1.1971941,1.0621586,1.312613,1.0169228,2.1041648,1.100847,.87396777,.60458601,9999,1.2519312,1.072723,.90547377,1.0539114,.71921033,1.0580213,.50709379,1.1448576,1.1090541,1.3440217,1.1728885,1.0391718,1.0922341,9999,1.2309468,.8963061,9999,1.2476879,.86982954,1.113778,1.0704969,.34635878,1.1702695,1.0871619,.52504075,1.2096403,1.0623819,1.0566686,9999,1.035274,1.054637,.56111753,.47724463,1.0271391,.80613163,.52566695,1.3715982,.63860325,1999
2003,4,"math","blk",.97242665,.82246625,.92288023,1.1370337,1.122792,1.0066496,1.2867026,.99564147,2.0927246,1.0543821,.91451585,.60264909,.4521426,1.294021,1.0513558,.85211569,1.0227669,.72383446,1.0156045,.59455943,1.0989044,1.0616709,1.2931867,1.1332138,1.0205556,1.0589318,9999,1.2206155,.88996571,.52095407,1.1825116,.85999525,1.0796449,1.0663074,.59593135,1.108798,.99239969,.61547571,1.1442444,1.0293391,1.0405968,.77169383,1.0300772,1.0345244,.63491905,.56153429,1.0066324,.78751385,.46930963,1.3520336,.57978302,2002
2005,4,"math","blk",.94817996,.8220374,.89726287,1.111109,1.0697552,.95796657,1.276211,.98145396,2.0850978,1.0234054,.94987863,.60135782,.49919575,1.2869477,1.0371109,.83884841,1.0020039,.72691721,.98732656,.65286988,1.0711185,1.0377028,1.2592967,1.106764,1.0081449,1.0367303,.73767096,1.2258192,.88573873,.57575148,1.1390607,.8437885,1.045892,1.0635145,.80671889,1.0602665,.9255414,.67576569,1.1006472,1.0073105,1.0298823,.80407292,1.016276,1.0211161,.68412006,.6177274,.99296147,.77510196,.43173805,1.3389906,.54056954,2004
2007,4,"math","blk",.9392302,.82160854,.87164551,1.0736101,1.0238928,.92953557,1.2711449,.96726644,2.077471,.99242884,.97672838,.60006648,.54624891,1.2517678,1.0228661,.84342492,.98124093,.73000002,.95904863,.71118033,1.0541902,1.0198312,1.2254066,1.0803142,.99573416,1.0145288,.25753868,1.2406958,.88151181,.63054889,1.0956098,.81986135,1.0033408,1.0607215,.96762884,1.0200137,.87439924,.73605573,1.05705,.985282,1.0191678,.83645195,.99420547,1.0077078,.73332113,.67392051,.97929037,.76269013,.39416647,1.3259475,.50135607,2006
2009,4,"math","blk",.95176798,.82117969,.84602815,1.024537,.99371028,.93523383,1.2715043,.95307893,2.0698442,.96145225,.98205543,.59877521,.59330207,1.1884812,1.0086212,.8658452,.96047795,.73308277,.93077075,.76949072,1.0554724,1.008056,1.1915166,1.0538642,.9833234,.99232715,.18103781,1.2652453,.87728488,.68534636,1.052159,.78821379,.95199174,1.0579286,1.0054593,1.0003128,.8549701,.79634571,1.0134528,.96325344,1.0084532,.86883104,.9638657,.99429953,.78252214,.73011357,.96561933,.75027829,.35659489,1.3129045,.46214259,2008
2011,4,"math","blk",.99198371,.82075083,.82041079,.96388948,.98771292,.98893881,1.2772892,.93889135,2.0622175,.93047565,.9528504,.59748393,.64035517,1.0970881,.99437642,.90610927,.93971497,.73616552,.90249282,.82780117,1.0823176,1.0023774,1.1576266,1.0274144,.97091258,.97012562,.50816834,1.2994678,.8730579,.74014378,1.0087081,.74884582,.89184451,1.0551356,.84700835,1.0134376,.88325077,.85663569,.96985561,.94122493,.99773878,.90121013,.92525655,.98089123,.83172315,.78630668,.95194829,.7378664,.31902334,1.2998614,.42292911,2010
2013,4,"math","blk",1.0660678,.82032198,.79479343,.89166772,1.0144061,1.1045278,1.2884996,.92470384,2.0545907,.89949906,.8761037,.59619266,9999,.97758836,.98013157,.96421713,.91895199,.73924828,.87421489,.88611156,1.1420785,1.0027952,1.1237366,1.0009646,.95850182,.94792408,9999,1.3433633,.86883098,9999,.96525723,.70175749,.82289916,1.0523427,.41907409,1.0716616,.97523808,.91692573,.92625839,.91919637,.98702425,.93358916,.87837815,.96748292,9999,9999,.93827724,.72545457,.28145176,1.2868184,9999,2012
1992,4,"math","hsp",9999,9999,.80709732,9999,.96473151,.79168016,1.3105301,1.3818549,1.8292122,.5874967,.80368215,.52445889,.91459417,9999,.79702371,.57362318,9999,9999,.68354601,9999,.6716457,1.2789096,.62855893,.72916263,9999,9999,9999,.82563347,9999,9999,1.176379,.80032104,1.0410132,.32570735,9999,.42440087,.67991626,9999,1.1295427,1.3475451,9999,9999,9999,.82247752,.7060678,9999,.4252694,9999,9999,.87658077,.54367161,1991
