state,group,grade,sub,vgap,vgapse,sesgap,resid,incV,edV,unemprat,povrat,enrl,fips,y1sesgap,y2sesgap,x1sesgap,x2sesgap,y1incV,y2incV,x1incV,x2incV,y1edV,y2edV,x1edV,x2edV,vgapse2,seweight,y1unemprat,y2unemprat,x1unemprat,x2unemprat,y1povrat,y2povrat,x1povrat,x2povrat
"AL","blk",4,"math",.971,.0295,.3325363,.0316891,.8334968,.6267921,3.657039,2.807894,20400.25,"Alabama",.507,2.207,-.1,1.6,.2297721,1.420677,-1,2,.4695542,1.851122,-.5,2.5,.0008692,1150.455,.85237,1.368426,0,10,.6289541,1.821329,0,11
"AL","blk",4,"read",.801,.0298,.2952671,.0275916,.8334968,.6267921,3.657039,2.807894,20400.25,"Alabama",.378,2.078,-.1,1.6,.1815398,1.155946,-1,2,.3938085,1.484521,-.5,2.5,.0008859,1128.842,.6717991,1.181764,0,10,.5082991,1.483623,0,11
"AL","hsp",4,"math",.647,.0555,.5544785,-.1506208,.9112223,.995716,1.76916,3.390179,1872.083,"Alabama",.143,1.843,-.1,1.6,-.3790149,1.504489,-1,2,.0675631,1.480557,-.5,2.5,.0030763,325.067,.6213536,1.417812,0,10,.2802785,1.986334,0,11
"AL","hsp",4,"read",.679,.0541,.5658631,-.0381526,.9112223,.995716,1.76916,3.390179,1872.083,"Alabama",.051,1.751,-.1,1.6,-.4413069,1.422306,-1,2,-.0339986,1.435674,-.5,2.5,.0029261,341.7475,.5585436,1.320314,0,10,.2325985,1.844095,0,11
"AL","blk",8,"read",.806,.0265,.3275943,.0171777,.8334968,.6267921,3.657039,2.807894,20400.25,"Alabama",.361,2.061,-.1,1.6,.1607846,1.165672,-1,2,.3933816,1.477607,-.5,2.5,.0007009,1426.754,.6902131,1.108518,0,10,.540767,1.400359,0,11
"AL","blk",8,"math",.997,.0308,.4084426,.0573712,.8334968,.6267921,3.657039,2.807894,20400.25,"Alabama",.431,2.131,-.1,1.6,.1057694,1.473777,-1,2,.4672487,1.820155,-.5,2.5,.0009461,1056.978,.8620538,1.28495,0,10,.5980427,1.855158,0,11
"AL","hsp",8,"math",.758,.0549,.5336532,-.0431244,.9112223,.995716,1.76916,3.390179,1872.083,"Alabama",.167,1.867,-.1,1.6,-.2876797,1.450589,-1,2,.147586,1.40787,-.5,2.5,.0030153,331.6403,.6211048,1.476643,0,10,.319176,1.891673,0,11
"AL","hsp",8,"read",.57,.0628,.6065091,-.1145303,.9112223,.995716,1.76916,3.390179,1872.083,"Alabama",-.022,1.678,-.1,1.6,-.4886567,1.399311,-1,2,-.0144324,1.348337,-.5,2.5,.0039497,253.1834,.5188523,1.316976,0,10,.2017192,1.800016,0,11
"AK","blk",4,"math",.806,.0444,.0115029,.1876294,.4596845,.0084106,1.138348,.998076,427.9167,"Alaska",.507,2.207,-.1,1.6,.2297721,1.420677,-1,2,.4695542,1.851122,-.5,2.5,.0019715,507.2288,.85237,1.368426,0,10,.6289541,1.821329,0,11
"AK","blk",4,"read",.585,.0469,-.0091182,.1165775,.4596845,.0084106,1.138348,.998076,427.9167,"Alaska",.378,2.078,-.1,1.6,.1815398,1.155946,-1,2,.3938085,1.484521,-.5,2.5,.0021992,454.7046,.6717991,1.181764,0,10,.5082991,1.483623,0,11
"AK","hsp",4,"read",.424,.038,.1388771,.1338234,.353545,.3391997,1.306139,1.307941,501.3333,"Alaska",.051,1.751,-.1,1.6,-.4413069,1.422306,-1,2,-.0339986,1.435674,-.5,2.5,.0014417,693.6077,.5585436,1.320314,0,10,.2325985,1.844095,0,11
"AK","hsp",4,"math",.549,.043,.1272423,.1782763,.353545,.3391997,1.306139,1.307941,501.3333,"Alaska",.143,1.843,-.1,1.6,-.3790149,1.504489,-1,2,.0675631,1.480557,-.5,2.5,.0018475,541.2746,.6213536,1.417812,0,10,.2802785,1.986334,0,11
"AK","blk",8,"read",.653,.0454,.0215798,.1707422,.4596845,.0084106,1.138348,.998076,427.9167,"Alaska",.361,2.061,-.1,1.6,.1607846,1.165672,-1,2,.3933816,1.477607,-.5,2.5,.0020598,485.4936,.6902131,1.108518,0,10,.540767,1.400359,0,11
"AK","blk",8,"math",.778,.0471,.0733392,.1737167,.4596845,.0084106,1.138348,.998076,427.9167,"Alaska",.431,2.131,-.1,1.6,.1057694,1.473777,-1,2,.4672487,1.820155,-.5,2.5,.0022155,451.3596,.8620538,1.28495,0,10,.5980427,1.855158,0,11
"AK","hsp",8,"math",.615,.0414,.1180483,.2297969,.353545,.3391997,1.306139,1.307941,501.3333,"Alaska",.167,1.867,-.1,1.6,-.2876797,1.450589,-1,2,.147586,1.40787,-.5,2.5,.001718,582.0891,.6211048,1.476643,0,10,.319176,1.891673,0,11
"AK","hsp",8,"read",.437,.0449,.1772504,.1814137,.353545,.3391997,1.306139,1.307941,501.3333,"Alaska",-.022,1.678,-.1,1.6,-.4886567,1.399311,-1,2,-.0144324,1.348337,-.5,2.5,.0020196,495.1532,.5188523,1.316976,0,10,.2017192,1.800016,0,11
