grade,year,sub,group,state,enrl,whtenrl,totenrl,whtnaepscore,naepscore,naepavg,vgap,vgapse,fips,slideyear,minenrl,wht_pct,min_pct,whtnaepweight,minnaepweight,summinnaepweight,natenrl,natavg,whtnaepdev,naepdev,avgnaepdev
8,1990,"math","hsp","OR",2562.144,36202.34,41874,272.7572,254.8828,271.362,.6282011,.14747,"Oregon",1,3524.602,.864554,.061187,235.8133,15.59551,21.21859,5.2e+06,262.553,10.2042,-7.670203,8.809
8,1990,"math","hsp","OK",1155.023,31828.31,42904,267.7811,245.2061,263.178,.8167854,.1860473,"Oklahoma",1,5285.507,.7418494,.0269211,198.6533,6.601221,29.29719,5.2e+06,262.553,5.228128,-17.34687,.625
8,1990,"math","blk","CT",4121.676,24781.36,32956,277.2707,240.365,269.866,1.22488,.1100248,"Connecticut",1,7366.559,.7519528,.125066,208.4945,30.0615,53.13538,5.2e+06,262.553,14.71769,-22.18796,7.313
8,1990,"math","hsp","IA",458.8349,33484.47,35449,278.9762,256.9784,277.969,.8385119,.1970877,"Iowa",1,1441.489,.9445815,.0129435,263.5157,3.326206,10.36193,5.2e+06,262.553,16.4232,-5.574576,15.416
8,1990,"math","blk","AZ",1784.264,28927.82,47159,269.741,244.76,259.59,.9151533,.1343024,"Arizona",1,13412.34,.6134105,.0378351,165.462,9.260512,68.91492,5.2e+06,262.553,7.188028,-17.79304,-2.963
8,1990,"math","hsp","AZ",11628.08,28927.82,47159,269.741,241.9353,259.59,1.00131,.0729461,"Arizona",1,13412.34,.6134105,.2465718,165.462,59.65441,68.91492,5.2e+06,262.553,7.188028,-20.61773,-2.963
8,1990,"math","hsp","NE",554.8251,18488.73,20617,278.7119,254.7898,275.674,.8427755,.2108736,"Nebraska",1,1708.66,.896771,.026911,249.9408,6.856662,19.96083,5.2e+06,262.553,16.15891,-7.763159,13.121
8,1990,"math","hsp","MD",1183.657,30455.43,50447,271.3997,251.8158,260.766,.6408003,.1303959,"Maryland",1,18101.1,.6037114,.0234634,163.8471,5.90845,84.95555,5.2e+06,262.553,8.846688,-10.73719,-1.787
8,1990,"math","blk","RI",605.8009,8502.176,10054,264.2334,226.3397,260.041,1.259761,.0988837,"Rhode Island",1,1262.265,.8456511,.0602547,223.4492,13.63804,28.33855,5.2e+06,262.553,1.680368,-36.21326,-2.512
8,1990,"math","hsp","VA",2417.492,54847.9,75303,270.6089,260.2088,264.273,.3057935,.1809506,"Virginia",1,23452.56,.7283628,.0321035,197.1014,8.353619,72.95576,5.2e+06,262.553,8.055856,-2.344229,1.72
8,1990,"math","hsp","IN",1398.313,63888.71,73839,269.9512,246.481,267.266,.837476,.358403,"Indiana",1,9419.157,.8652434,.0189373,233.5735,4.667692,30.84426,5.2e+06,262.553,7.398172,-16.07198,4.713
8,1990,"math","blk","AR",8462.574,25564.72,34527,264.0508,229.4788,256.214,1.383469,.0704307,"Arkansas",1,8646.911,.740427,.2451002,195.5103,56.24529,56.24529,5.2e+06,262.553,1.497812,-33.07424,-6.339
8,1990,"math","hsp","NH",113.1612,12516.32,12881,273.3679,,273.147,9999,,"New Hampshire",1,221.9196,.9716883,.0087851,265.6284,,0,5.2e+06,262.553,10.81492,,10.594
8,1990,"math","hsp","MT",172.6523,11772.34,13342,282.4183,,280.497,9999,,"Montana",1,220.047,.8823522,.0129405,249.1924,,0,5.2e+06,262.553,19.86534,,17.944
8,1990,"math","blk","OK",4130.483,31828.31,42904,267.7811,235.7467,263.178,1.244525,.093729,"Oklahoma",1,5285.507,.7418494,.0962727,198.6533,22.69597,29.29719,5.2e+06,262.553,5.228128,-26.80626,.625
8,1990,"math","hsp","PA",3308.111,102231.7,121836,271.8464,230.3587,266.364,1.476897,.23858,"Pennsylvania",1,17631.85,.8390923,.0271522,228.1042,6.254737,33.87854,5.2e+06,262.553,9.293435,-32.19433,3.811
8,1990,"math","blk","VA",21035.07,54847.9,78300.5,270.6089,240.4736,264.273,.9865921,.0721184,"Virginia",1,23452.56,.7004799,.2686455,189.5561,64.60214,72.95576,5.2e+06,262.553,8.055856,-22.07941,1.72
8,1990,"math","blk","TX",35749.9,125290.5,251006,272.2104,233.7354,258.19,1.439719,.0933615,"Texas",1,120229.2,.4991535,.1424265,135.8748,33.29011,115.4803,5.2e+06,262.553,9.657418,-28.81762,-4.363
8,1990,"math","blk","WV",1008.972,24586,25737,256.2056,232.8963,255.899,.8837495,.1594384,"West Virginia",1,1045.438,.9552785,.0392032,244.7477,9.130277,9.130277,5.2e+06,262.553,-6.347373,-29.65668,-6.654
8,1990,"math","hsp","LA",530.0158,29223.94,54491,257.6735,245.9042,246.443,.3823717,.2146245,"Louisiana",1,24435.04,.5363076,.0097267,138.1922,2.391828,102.4216,5.2e+06,262.553,-4.879538,-16.64881,-16.11
8,1990,"math","blk","CA",31239.85,161276.6,355168,269.1599,232.2198,256.325,1.251043,.1241703,"California",1,152959,.4540853,.0879579,122.2215,20.42557,101.3529,5.2e+06,262.553,6.606851,-30.33324,-6.228
8,1990,"math","hsp","GA",1949.907,58183.59,86658,269.7896,,258.85,9999,,"Georgia",1,40091.57,.6714163,.0225012,181.1411,,92.45438,5.2e+06,262.553,7.236551,,-3.703
8,1990,"math","blk","OR",962.4584,36202.34,41874,272.7572,244.6452,271.362,1.012484,.2009421,"Oregon",1,3524.602,.864554,.0229846,235.8133,5.62308,21.21859,5.2e+06,262.553,10.2042,-17.9078,8.809
8,1990,"math","hsp","WI",1359.199,50332.07,57757,278.6741,252.3551,274.487,1.00679,.1706777,"Wisconsin",1,5782.627,.8714454,.0235331,242.8493,5.93869,24.03311,5.2e+06,262.553,16.1211,-10.19787,11.934
8,1990,"math","hsp","NC",653.3612,54419.9,81895,260.6042,,250.348,9999,,"North Carolina",1,25374.04,.6645082,.007978,173.1736,,69.42363,5.2e+06,262.553,-1.948843,,-12.205
8,1990,"math","hsp","FL",17794.41,82713.71,135120,264.3095,245.6776,255.318,.6296877,.0920439,"Florida",1,49945.28,.61215,.1316934,161.7971,32.35412,87.35091,5.2e+06,262.553,1.75654,-16.8754,-7.235
8,1990,"math","hsp","AL",140.5536,35498.78,56467,261.9578,,252.864,9999,,"Alabama",1,20126.48,.6286642,.0024891,164.6835,,81.79575,5.2e+06,262.553,-.5952058,,-9.689
8,1990,"math","blk","MI",19739.49,90838.44,115946,269.8144,229.6872,264.398,1.530414,.0760152,"Michigan",1,22529.27,.7834547,.1702473,211.3874,39.10361,45.07373,5.2e+06,262.553,7.261392,-32.86582,1.845
8,1990,"math","hsp","NJ",9069.806,49396.27,75556,278.6254,241.2249,269.664,1.378974,.1332941,"New Jersey",1,22520.11,.6537703,.1200408,182.157,28.95684,71.69632,5.2e+06,262.553,16.07243,-21.32812,7.111
8,1990,"math","blk","IA",982.6542,33484.47,35449,278.9762,253.8119,277.969,.9997007,.1563791,"Iowa",1,1441.489,.9445815,.0277202,263.5157,7.035723,10.36193,5.2e+06,262.553,16.4232,-8.74108,15.416
8,1990,"math","blk","KY",4567.779,44247.54,49136,258.0153,240.2903,257.097,.6492104,.0781226,"Kentucky",1,4654.311,.9005117,.092962,232.3458,22.33786,22.33786,5.2e+06,262.553,-4.537711,-22.26267,-5.456
8,1990,"math","hsp","AR",184.337,25564.72,34527,264.0508,,256.214,9999,,"Arkansas",1,8646.911,.740427,.0053389,195.5103,,56.24529,5.2e+06,262.553,1.497812,,-6.339
8,1990,"math","blk","NH",108.7584,12516.32,12881,273.3679,,273.147,9999,,"New Hampshire",1,221.9196,.9716883,.0084433,265.6284,,0,5.2e+06,262.553,10.81492,,10.594
8,1990,"math","hsp","KY",86.53189,44247.54,49136,258.0153,,257.097,9999,,"Kentucky",1,4654.311,.9005117,.0017611,232.3458,,22.33786,5.2e+06,262.553,-4.537711,,-5.456
8,1990,"math","blk","PA",14323.74,102231.7,121836,271.8464,234.9647,266.364,1.294815,.1463216,"Pennsylvania",1,17631.85,.8390923,.1175658,228.1042,27.6238,33.87854,5.2e+06,262.553,9.293435,-27.58831,3.811
8,1990,"math","hsp","IL",19787,94867,149253,270.2513,235.8127,260.551,1.177697,.176586,"Illinois",1,49102,.635612,.1325735,171.775,31.26252,76.80309,5.2e+06,262.553,7.698343,-26.74032,-2.002
8,1990,"math","blk","AL",19985.93,35498.78,56467,261.9578,231.1007,252.864,1.130869,.0769714,"Alabama",1,20126.48,.6286642,.3539399,164.6835,81.79575,81.79575,5.2e+06,262.553,-.5952058,-31.45234,-9.689
8,1990,"math","blk","MD",16917.44,30455.43,50447,271.3997,235.7146,260.766,1.164661,.0700101,"Maryland",1,18101.1,.6037114,.3353509,163.8471,79.0471,84.95555,5.2e+06,262.553,8.846688,-26.83837,-1.787
8,1990,"math","blk","DE",2107.342,5060.619,7523,268.0811,240.7885,260.697,.9016739,.0626824,"Delaware",1,2337.629,.6726863,.2801199,180.3345,67.44965,75.04924,5.2e+06,262.553,5.528116,-21.76452,-1.856
8,1990,"math","blk","MN",1802.501,45241.3,49937,277.3921,236.4832,275.391,1.396803,.1964541,"Minnesota",1,2533.718,.9059675,.0360955,251.3083,8.535978,8.535978,5.2e+06,262.553,14.83912,-26.06981,12.838
8,1990,"math","hsp","HI",610.2348,2479.566,11270,258.4191,235.3119,251.021,.6403422,.1217007,"Hawaii",1,866.0355,.2200148,.0541468,56.85602,12.74139,18.06402,5.2e+06,262.553,-4.133902,-27.24111,-11.532
8,1990,"math","hsp","RI",656.4645,8502.176,10054,264.2334,225.1439,260.041,1.284713,.1101073,"Rhode Island",1,1262.265,.8456511,.0652939,223.4492,14.70051,28.33855,5.2e+06,262.553,1.680368,-37.40914,-2.512
8,1990,"math","blk","IN",8020.844,63888.71,73839,269.9512,240.9786,267.266,1.087612,.1022659,"Indiana",1,9419.157,.8652434,.1086261,233.5735,26.17657,30.84426,5.2e+06,262.553,7.398172,-21.57441,4.713
8,1990,"math","blk","ID",153,16948,17793,273.0904,,271.45,9999,,"Idaho",1,2179,.9525094,.0085989,260.1212,,26.51029,5.2e+06,262.553,10.53739,,8.897
8,1990,"math","blk","GA",38141.66,58183.59,98275.2,269.7896,238.2164,258.85,1.05069,.0671147,"Georgia",1,40091.57,.5920478,.3881109,159.7283,92.45438,92.45438,5.2e+06,262.553,7.236551,-24.33661,-3.703
8,1990,"math","hsp","WV",36.4655,24586,25737,256.2056,,255.899,9999,,"West Virginia",1,1045.438,.9552785,.0014169,244.7477,,9.130277,5.2e+06,262.553,-6.347373,,-6.654
8,1990,"math","hsp","ND",54.37132,8333.046,9105,283.668,,281.1,9999,,"North Dakota",1,106.4342,.9152165,.0059716,259.6176,,0,5.2e+06,262.553,21.11497,,18.547
8,1990,"math","blk","NJ",13450.3,49396.27,75556,278.6254,240.0856,269.664,1.44537,.1252081,"New Jersey",1,22520.11,.6537703,.1780177,182.157,42.73948,71.69632,5.2e+06,262.553,16.07243,-22.46743,7.111
8,1990,"math","hsp","DE",230.2873,5060.619,7523,268.0811,248.2626,260.697,.6787225,.1557136,"Delaware",1,2337.629,.6726863,.0306111,180.3345,7.59959,75.04924,5.2e+06,262.553,5.528116,-14.29041,-1.856
8,1990,"math","blk","NC",24720.68,54419.9,81895,260.6042,229.9875,250.348,1.073051,.0665554,"North Carolina",1,25374.04,.6645082,.3018583,173.1736,69.42363,69.42363,5.2e+06,262.553,-1.948843,-32.5655,-12.205
8,1990,"math","blk","MT",47.39469,11772.34,13342,282.4183,,280.497,9999,,"Montana",1,220.047,.8823522,.0035523,249.1924,,0,5.2e+06,262.553,19.86534,,17.944
8,1990,"math","blk","NM",484.5312,8722.058,21248,270.6064,238.7677,256.423,1.195048,.1502726,"New Mexico",1,10054.36,.4104884,.0228036,111.0808,5.444767,116.5423,5.2e+06,262.553,8.053353,-23.78528,-6.13
8,1990,"math","blk","NY",34260.79,111107.3,180527,272.9877,234.5098,260.796,1.317698,.1143546,"New York",1,61304.85,.615461,.1897821,168.0133,44.50576,80.11282,5.2e+06,262.553,10.43473,-28.04317,-1.757
8,1990,"math","hsp","WY",433.0157,6757.696,7509,273.7545,255.4787,272.148,.7145536,.0945436,"Wyoming",1,491.6608,.8999462,.0576662,246.3643,14.73249,14.73249,5.2e+06,262.553,11.20152,-7.074271,9.595
8,1990,"math","hsp","NM",9569.828,8722.058,21248,270.6064,246.6711,256.423,.8970816,.0597132,"New Mexico",1,10054.36,.4104884,.4503873,111.0808,111.0975,116.5423,5.2e+06,262.553,8.053353,-15.88187,-6.13
8,1990,"math","hsp","ID",2026,16948,19127,273.0904,250.2776,271.45,.8463032,.1244365,"Idaho",1,2179,.8860773,.1059236,241.9792,26.51029,26.51029,5.2e+06,262.553,10.53739,-12.27544,8.897
8,1990,"math","hsp","MN",731.2177,45241.3,49937,277.3921,,275.391,9999,,"Minnesota",1,2533.718,.9059675,.0146428,251.3083,,8.535978,5.2e+06,262.553,14.83912,,12.838
8,1990,"math","hsp","CT",3244.883,24781.36,32956,277.2707,234.3452,269.866,1.518383,.1300763,"Connecticut",1,7366.559,.7519528,.0984611,208.4945,23.07388,53.13538,5.2e+06,262.553,14.71769,-28.2078,7.313
8,1990,"math","hsp","DC",233.8781,123.7437,4976,293.1241,235.9568,231.366,1.710604,.2372886,"District of Columbia",1,4800.095,.0248681,.0470012,7.289443,11.09026,220.2233,5.2e+06,262.553,30.57105,-26.59623,-31.187
8,1990,"math","hsp","MI",2789.775,90838.44,115946,269.8144,248.1243,264.398,.762417,.2096759,"Michigan",1,22529.27,.7834547,.024061,211.3874,5.970116,45.07373,5.2e+06,262.553,7.261392,-14.42872,1.845
8,1990,"math","blk","DC",4566.217,123.7437,4976,293.1241,227.9011,231.366,2.105793,.2003102,"District of Columbia",1,4800.095,.0248681,.9176481,7.289443,209.133,220.2233,5.2e+06,262.553,30.57105,-34.65188,-31.187
8,1990,"math","hsp","CO",6948.03,31993.3,42334,272.9912,246.2105,267.366,.9883193,.0735299,"Colorado",1,9085.674,.7557353,.1641241,206.3091,40.40908,52.41589,5.2e+06,262.553,10.43824,-16.34254,4.813
8,1990,"math","hsp","NY",27044.06,111107.3,180527,272.9877,237.6875,260.796,1.185452,.1100933,"New York",1,61304.85,.615461,.1498062,168.0133,35.60706,80.11282,5.2e+06,262.553,10.43473,-24.86548,-1.757
8,1990,"math","blk","IL",29315,94867,149253,270.2513,231.8631,260.551,1.326752,.1600366,"Illinois",1,49102,.635612,.1964115,171.775,45.54057,76.80309,5.2e+06,262.553,7.698343,-30.68992,-2.002
8,1990,"math","blk","OH",18604.35,109641.6,131217,268.0124,233.2285,263.974,1.287157,.0688311,"Ohio",1,20290.65,.8355744,.1417831,223.9443,33.06786,36.18918,5.2e+06,262.553,5.459421,-29.32445,1.421
8,1990,"math","blk","NE",1153.835,18488.73,20617,278.7119,234.1484,275.674,1.603518,.1930745,"Nebraska",1,1708.66,.896771,.0559652,249.9408,13.10417,19.96083,5.2e+06,262.553,16.15891,-28.40459,13.121
8,1990,"math","blk","HI",255.8007,2479.566,11270,258.4191,234.5031,251.021,.6933485,.151332,"Hawaii",1,866.0355,.2200148,.0226975,56.85602,5.322631,18.06402,5.2e+06,262.553,-4.133902,-28.04993,-11.532
8,1990,"math","blk","WY",58.64509,6757.696,7509,273.7545,,272.148,9999,,"Wyoming",1,491.6608,.8999462,.00781,246.3643,,14.73249,5.2e+06,262.553,11.20152,,9.595
8,1990,"math","blk","CO",2137.644,31993.3,42334,272.9912,237.7836,267.366,1.300633,.1451901,"Colorado",1,9085.674,.7557353,.0504947,206.3091,12.00682,52.41589,5.2e+06,262.553,10.43824,-24.76943,4.813
8,1990,"math","blk","WI",4423.428,50332.07,57757,278.6741,236.26,274.487,1.568577,.1903279,"Wisconsin",1,5782.627,.8714454,.0765869,242.8493,18.09442,24.03311,5.2e+06,262.553,16.1211,-26.29296,11.934
8,1990,"math","blk","FL",32150.87,82713.71,135120,264.3095,231.1342,255.318,1.131109,.0722029,"Florida",1,49945.28,.61215,.2379431,161.7971,54.99678,87.35091,5.2e+06,262.553,1.75654,-31.41877,-7.235
8,1990,"math","hsp","OH",1686.296,109641.6,131217,268.0124,242.8816,263.974,.9203164,.2412071,"Ohio",1,20290.65,.8355744,.0128512,223.9443,3.12132,36.18918,5.2e+06,262.553,5.459421,-19.67141,1.421
8,1990,"math","hsp","CA",121719.2,161276.6,355168,269.1599,236.1402,256.325,1.138227,.0805236,"California",1,152959,.4540853,.3427087,122.2215,80.92731,101.3529,5.2e+06,262.553,6.606851,-26.41277,-6.228
8,1990,"math","blk","LA",23905.02,29223.94,54491,257.6735,228.0158,246.443,1.150351,.0713988,"Louisiana",1,24435.04,.5363076,.4386967,138.1922,100.0298,102.4216,5.2e+06,262.553,-4.879538,-34.53721,-16.11
8,1990,"math","blk","ND",52.0629,8333.046,9105,283.668,,281.1,9999,,"North Dakota",1,106.4342,.9152165,.0057181,259.6176,,0,5.2e+06,262.553,21.11497,,18.547
8,1990,"math","hsp","TX",84479.25,125290.5,251006,272.2104,244.2047,258.19,1.008278,.0731696,"Texas",1,120229.2,.4991535,.3365627,135.8748,82.19019,115.4803,5.2e+06,262.553,9.657418,-18.34829,-4.363
4,1992,"math","hsp","NM",10733.01,10072.54,23836,224.4352,203.2143,213.299,.7769164,.0725975,"New Mexico",1,11248.5,.4225766,.4502855,94.84104,91.50444,95.87549,5.9e+06,219.711,4.72415,-16.49674,-6.412
4,1992,"math","hsp","TX",96382.77,137048.7,278567,229.5958,207.6554,217.919,.8093114,.0796145,"Texas",1,135518.5,.4919777,.3459949,112.956,71.84772,99.79647,5.9e+06,219.711,9.884764,-12.05559,-1.792
4,1992,"math","hsp","PA",3637.551,105969.2,128877,230.0965,200.9512,224.306,1.077961,.1865284,"Pennsylvania",1,20704.48,.8222508,.028225,189.197,5.671844,31.36398,5.9e+06,219.711,10.38545,-18.7598,4.595
4,1992,"math","blk","WI",5284.214,52552.21,61775,232.5596,195.2487,228.692,1.397804,.1239005,"Wisconsin",1,6948.324,.8507035,.0855397,197.8393,16.70151,22.29395,5.9e+06,219.711,12.84862,-24.4623,8.981
4,1992,"math","blk","NH",117.415,14688.22,15117,230.0482,,229.665,9999,,"New Hampshire",1,252.5758,.9716359,.0077671,223.523,,0,5.9e+06,219.711,10.33716,,9.954
4,1992,"math","blk","WY",75.64644,7414.539,8290,226.9552,197.2073,225.378,1.071173,.2816396,"Wyoming",1,565.9018,.8943956,.009125,202.9877,1.799521,14.58581,5.9e+06,219.711,7.244154,-22.50373,5.667
4,1992,"math","blk","KY",4614.969,44487.54,49495,216.5709,200.2813,215.048,.6034585,.0765809,"Kentucky",1,4736.198,.898829,.0932411,194.6602,18.67446,18.67446,5.9e+06,219.711,-3.140062,-19.42967,-4.663
4,1992,"math","blk","MO",10077.26,53120.14,64320,227.022,195.3648,222.216,1.17468,.0969561,"Missouri",1,10557.1,.8258728,.1566738,187.4913,30.60855,30.60855,5.9e+06,219.711,7.310957,-24.34616,2.505
4,1992,"math","blk","AR",8361.117,25618.99,34496,217.3072,188.2899,210.206,1.075738,.0719421,"Arkansas",1,8586.467,.7426656,.2423793,161.3866,45.63757,45.63757,5.9e+06,219.711,-2.40378,-31.42111,-9.505
4,1992,"math","blk","NJ",15073.9,52703.24,82100,236.4768,198.0298,227.148,1.47563,.1384037,"New Jersey",1,25335.2,.6419396,.1836042,151.8038,36.3591,61.83576,5.9e+06,219.711,16.76581,-21.68117,7.437
4,1992,"math","blk","SC",21448.12,29643.75,52241,224.9219,194.3711,212.497,1.148145,.0643981,"South Carolina",1,21706.95,.5674422,.4105611,127.6302,79.80122,79.80122,5.9e+06,219.711,5.210906,-25.33989,-7.214
4,1992,"math","blk","AL",20914,36439.53,58331,218.3248,188.348,208.328,1.087271,.0656252,"Alabama",1,21064.45,.6247027,.3585401,136.3881,67.5303,67.5303,5.9e+06,219.711,-1.386201,-31.36302,-11.383
4,1992,"math","hsp","MA",5372.483,53369.94,65960,231.273,196.0048,226.598,1.298633,.1071854,"Massachusetts",1,10177.26,.8091259,.0814506,187.129,15.96471,30.16413,5.9e+06,219.711,11.56203,-23.70624,6.887
4,1992,"math","blk","MA",4804.776,53369.94,65960,231.273,194.9298,226.598,1.334823,.1258328,"Massachusetts",1,10177.26,.8091259,.0728438,187.129,14.19942,30.16413,5.9e+06,219.711,11.56203,-24.78119,6.887
4,1992,"math","blk","HI",396.1148,3541.565,13677,222.2188,204.1047,214.057,.5764326,.101005,"Hawaii",1,1086.697,.2589431,.0289621,57.54202,5.911302,16.31006,5.9e+06,219.711,2.507796,-15.60633,-5.654
4,1992,"math","blk","MS",21030.01,19547.26,40953,218.9011,189.3092,201.828,1.08463,.0736277,"Mississippi",1,21091.18,.4773096,.5135157,104.4836,97.21323,97.21323,5.9e+06,219.711,-.8098922,-30.40183,-17.883
