year,Black_White_12th_Grade_Math,Hispanic_White_12th_Grade_Math,Black_White_12th_Grade_Reading,Hispanic_White_12th_Grade_Reading,Black_White_4th_Grade_Math,Hispanic_White_4th_Grade_Math,Black_White_4th_Grade_Reading,Hispanic_White_4th_Grade_Reading,Black_White_8th_Grade_Math,Hispanic_White_8th_Grade_Math,Black_White_8th_Grade_Reading,Hispanic_White_8th_Grade_Reading
1975,9999,9999,1.2530613,1.0060736,9999,9999,0.987782,1.007205,9999,9999,1.0737389,0.98547983
1978,1.1598488,0.90802258,1.2709715,0.88416044,0.92239726,0.61150926,0.92320049,0.9098763,1.1705936,0.95322585,1.0108021,0.89536469
1980,1.1098903,0.90550911,1.2829117,0.802885,0.8960641,0.60922983,0.88014615,0.84499049,1.1352135,0.83325055,0.96884418,0.83528793
1982,1.0599319,0.90299565,1.0714701,0.7562567,0.86973095,0.6069504,0.85593149,0.81483582,1.0998334,0.71327525,0.87464648,0.75183517
1984,1.0463721,0.87275758,0.86002862,0.7096284,0.82928798,0.64473256,0.83171684,0.78468114,0.97843251,0.68602914,0.78044879,0.66838241
1986,1.0328122,0.84251952,0.7154085,0.67369273,0.788845,0.68251473,0.78856742,0.68712631,0.85703164,0.65878302,0.6785073,0.64955863
1988,0.88609141,0.84623787,0.57078838,0.63775706,0.81963021,0.68727395,0.74541801,0.58957148,0.90569136,0.69902527,0.5765658,0.63073486
1990,0.73937058,0.84995621,0.75926292,0.54786879,0.85041541,0.69203317,0.83380699,0.66587442,0.95435107,0.73926753,0.5929302,0.6985023
1992,0.92835599,0.71113074,0.92130512,0.61993498,0.86145616,0.74044031,0.85854417,0.66301191,0.99495792,0.69861829,0.75457788,0.69865727
1994,0.98102486,0.74660909,0.71182603,0.76338005,0.79510224,0.87497801,0.82931256,0.81608754,0.99516237,0.87028265,0.82839292,0.83241653
1996,0.96815395,0.742625,0.75187916,0.74156016,0.7886374,0.69230086,0.76207376,0.64830065,1.0059345,0.86128289,0.88678133,0.74830258
1999,1.1342717,0.78443301,0.80065233,0.6174556,0.86022329,0.83940297,0.9615913,0.76760387,1.0973926,0.81148481,0.78780031,0.65314633
2004,1.0852487,0.88528657,0.74351686,0.67558295,0.7166099,0.57484657,0.76212645,0.6377753,0.96487916,0.81841344,0.65511239,0.71021545
2008,0.98715413,0.75456053,0.7047441,0.64985627,0.7804482,0.5171293,0.68821889,0.60353237,0.94114524,0.73769373,0.62740636,0.72766984
2012,0.90237546,0.66640055,0.64500719,0.52166706,0.73920393,0.51698935,0.64182711,0.58627945,0.8644408,0.664141,0.65359932,0.58481395
