year,grade,subject,group,trueV,cihi,cilo,id
1975,4,"read","blk",.987782,1.074071,.9014929,"Black_White_4th_Grade_Reading"
1975,4,"read","hsp",1.007205,1.255267,.7591429,"Hispanic_White_4th_Grade_Reading"
1975,8,"read","blk",1.073739,1.159586,.9878917,"Black_White_8th_Grade_Reading"
1975,8,"read","hsp",.9854798,1.368104,.6028558,"Hispanic_White_8th_Grade_Reading"
1975,12,"read","blk",1.253061,1.370726,1.135396,"Black_White_12th_Grade_Reading"
1975,12,"read","hsp",1.006074,1.431834,.5803133,"Hispanic_White_12th_Grade_Reading"
1978,4,"math","blk",.9223973,1.018955,.8258395,"Black_White_4th_Grade_Math"
1978,4,"math","hsp",.6115093,.7608781,.4621404,"Hispanic_White_4th_Grade_Math"
1978,8,"math","blk",1.170594,1.291262,1.049926,"Black_White_8th_Grade_Math"
1978,8,"math","hsp",.9532259,1.097502,.8089496,"Hispanic_White_8th_Grade_Math"
1978,12,"math","blk",1.159849,1.260177,1.05952,"Black_White_12th_Grade_Math"
1978,12,"math","hsp",.9080226,1.051165,.7648796,"Hispanic_White_12th_Grade_Math"
1980,4,"read","blk",.8801461,.973956,.7863363,"Black_White_4th_Grade_Reading"
1980,4,"read","hsp",.8449905,.9867085,.7032725,"Hispanic_White_4th_Grade_Reading"
1980,8,"read","blk",.9688442,1.077015,.8606735,"Black_White_8th_Grade_Reading"
1980,8,"read","hsp",.8352879,.9723242,.6982517,"Hispanic_White_8th_Grade_Reading"
1980,12,"read","blk",1.282912,1.405349,1.160474,"Black_White_12th_Grade_Reading"
1980,12,"read","hsp",.802885,.9692032,.6365668,"Hispanic_White_12th_Grade_Reading"
1982,4,"math","blk",.8697309,.974278,.7651839,"Black_White_4th_Grade_Math"
1982,4,"math","hsp",.6069504,.7174675,.4964332,"Hispanic_White_4th_Grade_Math"
1982,8,"math","blk",1.099833,1.210688,.9889786,"Black_White_8th_Grade_Math"
1982,8,"math","hsp",.7132753,.8215491,.6050014,"Hispanic_White_8th_Grade_Math"
1982,12,"math","blk",1.059932,1.159722,.9601417,"Black_White_12th_Grade_Math"
1982,12,"math","hsp",.9029956,1.038935,.7670564,"Hispanic_White_12th_Grade_Math"
1984,4,"read","blk",.8317168,.918324,.7451097,"Black_White_4th_Grade_Reading"
1984,4,"read","hsp",.7846811,.9550619,.6143004,"Hispanic_White_4th_Grade_Reading"
1984,8,"read","blk",.7804488,.8522345,.7086631,"Black_White_8th_Grade_Reading"
1984,8,"read","hsp",.6683824,.7889385,.5478263,"Hispanic_White_8th_Grade_Reading"
1984,12,"read","blk",.8600286,.9355453,.784512,"Black_White_12th_Grade_Reading"
1984,12,"read","hsp",.7096284,.8642065,.5550503,"Hispanic_White_12th_Grade_Reading"
1986,4,"math","blk",.788845,.9053441,.6723459,"Black_White_4th_Grade_Math"
1986,4,"math","hsp",.6825147,.8292866,.5357429,"Hispanic_White_4th_Grade_Math"
1986,8,"math","blk",.8570316,1.019097,.694966,"Black_White_8th_Grade_Math"
1986,8,"math","hsp",.658783,.8899711,.427595,"Hispanic_White_8th_Grade_Math"
1986,12,"math","blk",1.032812,1.2143,.8513242,"Black_White_12th_Grade_Math"
1986,12,"math","hsp",.8425195,1.084856,.6001831,"Hispanic_White_12th_Grade_Math"
