year,grade,sub,group,trueV,cihi,cilo,fips,unique
1990,8,"math","blk",1.130869,1.281733,.9800047,"Alabama",1
1990,8,"math","blk",.9151533,1.178386,.6519206,"Arizona",2
1990,8,"math","hsp",1.00131,1.144285,.858336,"Arizona",3
1990,8,"math","blk",1.383469,1.521513,1.245424,"Arkansas",4
1990,8,"math","blk",1.251043,1.494417,1.007669,"California",5
1990,8,"math","hsp",1.138227,1.296053,.9804005,"California",6
1990,8,"math","blk",1.300633,1.585206,1.01606,"Colorado",7
1990,8,"math","hsp",.9883193,1.132438,.8442006,"Colorado",8
1990,8,"math","blk",1.22488,1.440529,1.009232,"Connecticut",9
1990,8,"math","hsp",1.518383,1.773333,1.263433,"Connecticut",10
1990,8,"math","blk",.9016739,1.024531,.7788165,"Delaware",11
1990,8,"math","hsp",.6787225,.9839212,.3735238,"Delaware",12
1990,8,"math","blk",2.105793,2.498401,1.713185,"District_of_Columbia",13
1990,8,"math","hsp",1.710604,2.17569,1.245518,"District_of_Columbia",14
1990,8,"math","blk",1.131109,1.272627,.9895919,"Florida",15
1990,8,"math","hsp",.6296877,.8100936,.4492817,"Florida",16
1990,8,"math","blk",1.05069,1.182235,.9191453,"Georgia",17
1990,8,"math","blk",.6933485,.9899592,.3967378,"Hawaii",18
1990,8,"math","hsp",.6403422,.8788755,.4018088,"Hawaii",19
1990,8,"math","hsp",.8463032,1.090199,.6024075,"Idaho",20
1990,8,"math","blk",1.326752,1.640424,1.01308,"Illinois",21
1990,8,"math","hsp",1.177697,1.523806,.8315886,"Illinois",22
1990,8,"math","blk",1.087612,1.288054,.8871711,"Indiana",23
1990,8,"math","hsp",.837476,1.539946,.1350062,"Indiana",24
1990,8,"math","blk",.9997007,1.306204,.6931975,"Iowa",25
1990,8,"math","hsp",.8385119,1.224804,.45222,"Iowa",26
1990,8,"math","blk",.6492104,.8023307,.49609,"Kentucky",27
1990,8,"math","blk",1.150351,1.290293,1.010409,"Louisiana",28
1990,8,"math","hsp",.3823717,.8030357,-.0382923,"Louisiana",29
1990,8,"math","blk",1.164661,1.301881,1.027442,"Maryland",30
1990,8,"math","hsp",.6408003,.8963763,.3852243,"Maryland",31
1990,8,"math","blk",1.530414,1.679404,1.381424,"Michigan",32
1990,8,"math","hsp",.762417,1.173382,.3514522,"Michigan",33
1990,8,"math","blk",1.396803,1.781853,1.011752,"Minnesota",34
1990,8,"math","blk",1.603518,1.981944,1.225092,"Nebraska",35
1990,8,"math","hsp",.8427755,1.256088,.4294634,"Nebraska",36
1990,8,"math","blk",1.44537,1.690778,1.199962,"New_Jersey",37
1990,8,"math","hsp",1.378974,1.640231,1.117718,"New_Jersey",38
1990,8,"math","blk",1.195048,1.489582,.9005136,"New_Mexico",39
1990,8,"math","hsp",.8970816,1.01412,.7800436,"New_Mexico",40
1990,8,"math","blk",1.317698,1.541833,1.093563,"New_York",41
1990,8,"math","hsp",1.185452,1.401235,.9696695,"New_York",42
1990,8,"math","blk",1.073051,1.2035,.9426028,"North_Carolina",43
1990,8,"math","blk",1.287157,1.422066,1.152248,"Ohio",44
1990,8,"math","hsp",.9203164,1.393082,.4475504,"Ohio",45
1990,8,"math","blk",1.244525,1.428234,1.060816,"Oklahoma",46
1990,8,"math","hsp",.8167854,1.181438,.4521326,"Oklahoma",47
1990,8,"math","blk",1.012484,1.406331,.6186377,"Oregon",48
1990,8,"math","hsp",.6282011,.9172423,.33916,"Oregon",49
1990,8,"math","blk",1.294815,1.581605,1.008025,"Pennsylvania",50
1990,8,"math","hsp",1.476897,1.944514,1.00928,"Pennsylvania",51
1990,8,"math","blk",1.259761,1.453573,1.065949,"Rhode_Island",52
1990,8,"math","hsp",1.284713,1.500523,1.068902,"Rhode_Island",53
1990,8,"math","blk",1.439719,1.622708,1.256731,"Texas",54
1990,8,"math","hsp",1.008278,1.15169,.8648655,"Texas",55
1990,8,"math","blk",.9865921,1.127944,.8452399,"Virginia",56
1990,8,"math","hsp",.3057935,.6604567,-.0488696,"Virginia",57
1990,8,"math","blk",.8837495,1.196249,.5712501,"West_Virginia",58
1990,8,"math","blk",1.568577,1.94162,1.195535,"Wisconsin",59
1990,8,"math","hsp",1.00679,1.341319,.6722621,"Wisconsin",60
1990,8,"math","hsp",.7145536,.899859,.5292482,"Wyoming",61
1992,4,"math","blk",1.087271,1.215896,.9586456,"Alabama",62
1992,4,"math","blk",.9470028,1.215825,.6781801,"Arizona",63
1992,4,"math","hsp",.805352,.9329282,.6777759,"Arizona",64
1992,4,"math","blk",1.075738,1.216745,.9347315,"Arkansas",65
1992,4,"math","blk",1.139865,1.373086,.9066436,"California",66
1992,4,"math","hsp",.9323975,1.099163,.7656316,"California",67
1992,4,"math","blk",1.002521,1.193519,.8115217,"Colorado",68
1992,4,"math","hsp",.8087101,.9388635,.6785567,"Colorado",69
1992,4,"math","blk",1.470661,1.734451,1.206871,"Connecticut",70
1992,4,"math","hsp",1.260995,1.501156,1.020833,"Connecticut",71
1992,4,"math","blk",1.075799,1.216961,.934637,"Delaware",72
1992,4,"math","hsp",1.411945,1.769215,1.054676,"Delaware",73
1992,4,"math","blk",1.968743,2.230334,1.707152,"District_of_Columbia",74
1992,4,"math","hsp",1.840417,2.226389,1.454444,"District_of_Columbia",75
1992,4,"math","blk",1.214542,1.383604,1.04548,"Florida",76
1992,4,"math","hsp",.6079428,.8102116,.4056739,"Florida",77
1992,4,"math","blk",1.164177,1.303752,1.024601,"Georgia",78
1992,4,"math","hsp",1.002473,1.610576,.3943697,"Georgia",79
1992,4,"math","blk",.5764326,.7744023,.3784628,"Hawaii",80
1992,4,"math","hsp",.5824974,.8503573,.3146374,"Hawaii",81
1992,4,"math","hsp",.9029458,1.186799,.6190925,"Idaho",82
1992,4,"math","blk",1.131534,1.332397,.9306698,"Indiana",83
1992,4,"math","hsp",.646413,.9901563,.3026697,"Indiana",84
1992,4,"math","blk",1.251917,1.623288,.880547,"Iowa",85
1992,4,"math","hsp",.5193527,.9053751,.1333303,"Iowa",86
1992,4,"math","blk",.6034585,.753557,.4533601,"Kentucky",87
1992,4,"math","blk",1.143551,1.317374,.9697276,"Louisiana",88
1992,4,"math","hsp",.6379653,1.007816,.2681147,"Louisiana",89
1992,4,"math","blk",1.116647,1.247078,.9862152,"Maryland",90
1992,4,"math","hsp",.7224844,1.027254,.4177151,"Maryland",91
1992,4,"math","blk",1.334823,1.581455,1.088191,"Massachusetts",92
1992,4,"math","hsp",1.298633,1.508716,1.088549,"Massachusetts",93
1992,4,"math","blk",1.448177,1.720231,1.176123,"Michigan",94
1992,4,"math","hsp",.6623051,1.075142,.2494684,"Michigan",95
1992,4,"math","blk",1.254612,1.581192,.9280328,"Minnesota",96
1992,4,"math","hsp",.7424929,1.068475,.4165113,"Minnesota",97
1992,4,"math","blk",1.08463,1.22894,.94032,"Mississippi",98
1992,4,"math","blk",1.17468,1.364714,.9846463,"Missouri",99
1992,4,"math","blk",1.38787,1.593093,1.182647,"Nebraska",100
1992,4,"math","hsp",.8613126,1.196257,.5263684,"Nebraska",101
1992,4,"math","blk",1.47563,1.746901,1.204358,"New_Jersey",102
1992,4,"math","hsp",1.223981,1.451729,.9962338,"New_Jersey",103
1992,4,"math","blk",.8225077,1.113668,.5313473,"New_Mexico",104
1992,4,"math","hsp",.7769164,.9192075,.6346254,"New_Mexico",105
1992,4,"math","blk",1.125915,1.351922,.8999079,"New_York",106
1992,4,"math","hsp",1.089876,1.342021,.8377308,"New_York",107
1992,4,"math","blk",1.075556,1.193822,.9572893,"North_Carolina",108
1992,4,"math","hsp",.2664081,.7199987,-.1871826,"North_Carolina",109
1992,4,"math","blk",.9742218,1.191376,.7570678,"Ohio",110
1992,4,"math","hsp",.4431125,.8371668,.0490581,"Ohio",111
1992,4,"math","blk",.9283012,1.122473,.7341291,"Oklahoma",112
1992,4,"math","hsp",.6574295,.9707844,.3440746,"Oklahoma",113
1992,4,"math","blk",1.326863,1.533691,1.120034,"Pennsylvania",114
1992,4,"math","hsp",1.077961,1.443557,.7123659,"Pennsylvania",115
1992,4,"math","blk",1.046134,1.301911,.7903568,"Rhode_Island",116
1992,4,"math","hsp",1.283529,1.495916,1.071142,"Rhode_Island",117
1992,4,"math","blk",1.148145,1.274366,1.021925,"South_Carolina",118
1992,4,"math","blk",.9660081,1.124604,.8074123,"Tennessee",119
1992,4,"math","blk",1.117578,1.302006,.9331497,"Texas",120
1992,4,"math","hsp",.8093114,.9653558,.6532671,"Texas",121
1992,4,"math","hsp",.6745653,.8895263,.4596042,"Utah",122
1992,4,"math","blk",1.060885,1.208814,.9129548,"Virginia",123
1992,4,"math","hsp",.4276938,.8786181,-.0232303,"Virginia",124
1992,4,"math","blk",.5017217,.8485418,.1549017,"West_Virginia",125
1992,4,"math","blk",1.397804,1.640649,1.154959,"Wisconsin",126
1992,4,"math","hsp",.8924909,1.154089,.6308925,"Wisconsin",127
1992,4,"math","blk",1.071173,1.623186,.519159,"Wyoming",128
1992,4,"math","hsp",.4561675,.6155527,.2967822,"Wyoming",129
1992,4,"read","blk",.9222464,1.074049,.7704442,"Alabama",130
1992,4,"read","blk",.6544068,.9276255,.3811881,"Arizona",131
1992,4,"read","hsp",.7305503,.8989627,.5621378,"Arizona",132
1992,4,"read","blk",.908662,1.03239,.7849342,"Arkansas",133
1992,4,"read","blk",.923408,1.164605,.6822107,"California",134
1992,4,"read","hsp",1.01736,1.186591,.8481289,"California",135
1992,4,"read","blk",.6726284,.8756757,.4695811,"Colorado",136
1992,4,"read","hsp",.6505576,.7895464,.5115689,"Colorado",137
1992,4,"read","blk",1.186247,1.423957,.9485365,"Connecticut",138
1992,4,"read","hsp",1.376504,1.690482,1.062526,"Connecticut",139
